organism,NCBI.reference.nr,host,host.disease,isolation.source,sample.type,free.living,disease.associated
Pseudomonas aeruginosa,CP050054.1,NA,NA,"Integrative Microbiology Research Center, South China Agricultural University (SCAU), Tianhe District, Guangzhou China",Pure culture,host.associated,unknown
Pseudomonas aeruginosa,CP050053.1,NA,NA,"Integrative Microbiology Research Center, South China Agricultural University (SCAU), Tianhe District, Guangzhou China",Pure culture,host.associated,unknown
Pseudomonas rhodesiae,CP054205.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas sp. B14-6,CP053929.1,NA,NA,Arctic soil,soil,free.living,unknown
Pseudomonas aeruginosa,CP053922.1,Morus alba,NA,NA,cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP053917.1,Homo sapiens,pneumonia,urine,NA,host.associated,unknown
Pseudomonas graminis,CP053746.1,Panax ginseng,NA,ginseng seedlings,whole organism,host.associated,unknown
Pseudomonas aeruginosa,CP053706.1,Homo sapiens,NA,blood,NA,host.associated,unknown
Pseudomonas aeruginosa,CP053705.1,Homo sapiens,NA,blood,NA,host.associated,unknown
Pseudomonas mediterranea,CP046874.1,NA,NA,tobacco rhizosphere,cultivated soil,host.associated,unknown
Pseudomonas aeruginosa PAO1,CP053028.1,NA,NA,NA,single cell,unknown,unknown
Pseudomonas sp. SK,CP051857.1,NA,NA,wheat rhizospheric soil,Whole organism,host.associated,unknown
Pseudomonas putida,CP050951.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas fluorescens,CP027561.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas multiresinivorans,CP048833.1,NA,NA,Populus rhizosphere soil,cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP052759.1,NA,NA,tung meal,cell culture,host.associated,unknown
Pseudomonas umsongensis,CP051487.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas otitidis,AP022642.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP032761.1,Homo sapiens,NA,NA,whole organism,host.associated,unknown
Pseudomonas aeruginosa,CP045739.1,Homo sapiens,Pneumonia,Sputum-lungs,NA,host.associated,disease.associated
Pseudomonas coronafaciens,CP050260.1,Avena sativa,NA,Infected leaves,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP045916.1,Homo sapiens,Cystic Fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas veronii,CP039631.3,NA,NA,sediment,Bacterial culture,free.living,unknown
Pseudomonas sp. BIOMIG1BAC,CP049045.1,NA,NA,sewage enriched with benzalkonium chloride,pure culture,free.living,unknown
Pseudomonas nitroreducens,CP049140.1,not applicable,NA,NA,monoculture,unknown,unknown
Pseudomonas monteilii,CP043396.1,Homo sapiens,Uremia,Drainage,NA,host.associated,disease.associated
Pseudomonas monteilii,CP043395.1,Homo sapiens,Uremia,Drainage,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP049161.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas psychrophila,CP049044.1,NA,NA,food/cold,Food spoilage microflora,free.living,unknown
Pseudomonas protegens,CP043179.1,NA,NA,soil and water,cell culture,free.living,unknown
Pseudomonas aeruginosa,CP048791.1,Homo sapiens,Diabetic Foot Ulcer,Pus,NA,host.associated,disease.associated
Pseudomonas fluorescens,CP048607.1,NA,NA,Rhizosphere of Soybean,whole organism,free.living,unknown
Pseudomonas fluorescens,CP048408.1,NA,NA,Rhizosphere of Soybean,whole organism,free.living,unknown
Pseudomonas putida,CP026115.2,Medicago sativa,NA,NA,whole organism,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,CP048051.1,Anemarrhena asphodeloides Bunge,NA,leaf,tissue sample,host.associated,unknown
Pseudomonas aeruginosa,CP047697.1,NA,NA,landfill,pure culture,free.living,unknown
Pseudomonas knackmussii,CP047698.1,NA,NA,landfill,pure culture,free.living,unknown
Pseudomonas aeruginosa,CP047592.1,Homo sapiens,NA,cystic fibrosis pediatric isolate,Tissue sample,host.associated,disease.associated
Pseudomonas aeruginosa,CP025055.2,Homo sapiens,NA,sputum,culture,host.associated,unknown
Pseudomonas putida,AP022324.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. DTU12.1,CP045254.1,NA,NA,leaf-covered soil,Whole organism,host.associated,unknown
Pseudomonas aeruginosa,CP028132.1,Tobacco,NA,NA,single cell,host.associated,unknown
Pseudomonas sp. S49,CP019432.1,Solanum tuberosum,NA,phyllosphere,whole organism,host.associated,unknown
Pseudomonas sp. S35,CP019431.1,Solanum tuberosum,NA,phyllosphere,whole organism,host.associated,unknown
Pseudomonas sp. S34,CP019398.1,Solanum tuberosum,NA,phyllosphere,whole organism,host.associated,unknown
Pseudomonas sp. S19,CP019397.1,Solanum tuberosum,NA,phyllosphere,whole organism,host.associated,unknown
Pseudomonas syringae UB303,CP047267.1,NA,NA,lake water,NA,free.living,unknown
Pseudomonas asturiensis,CP047265.1,NA,NA,Stream water,NA,free.living,unknown
Pseudomonas syringae pv. maculicola str. ES4326,CP047260.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP025056.3,Homo sapiens,NA,tracheal aspirate,culture,host.associated,unknown
Pseudomonas sp. R76,CP019428.1,Solanum tuberosum,NA,rhizosphere soil,whole organism,host.associated,unknown
Pseudomonas sp. S04,CP019427.1,Solanum tuberosum,NA,phyllosphere,whole organism,host.associated,unknown
Pseudomonas sp. R84,CP019426.1,Solanum tuberosum,NA,rhizosphere soil,whole organism,host.associated,unknown
Pseudomonas monteilii,CP040324.1,NA,NA,soil,single cell,free.living,unknown
Pseudomonas sp. J380,CP043060.1,Cunner fish,NA,NA,NA,host.associated,unknown
Pseudomonas syringae pv. tomato,CP047073.1,not applicable,NA,not applicable,bacterial strain,unknown,unknown
Pseudomonas alkylphenolica,CP046621.1,NA,NA,"Soil, Residential Rain Drainage Channel",NA,free.living,unknown
Pseudomonas coronafaciens pv. coronafaciens,CP046441.1,Avena sativa,NA,NA,infected leaf,host.associated,disease.associated
Pseudomonas aeruginosa,CP039990.1,Homo sapiens,NA,adult male sputum,bacterial culture,host.associated,unknown
Pseudomonas aeruginosa,CP039988.1,Homo sapiens,NA,adult male sputum,bacterial culture,host.associated,unknown
Pseudomonas sp. KUIN-1,AP020337.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP046069.1,NA,NA,methanogenic sludge from a potato processing plant,pure culture,host.associated,unknown
Pseudomonas aeruginosa,CP046060.1,Homo sapiens,lung infection,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP046061.1,Homo sapiens,lung infection,sputum,NA,host.associated,disease.associated
Pseudomonas coronafaciens pv. oryzae str. 1_6,CP046035.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. KU43P,AP019365.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP041945.1,Homo sapiens,sepsis,urine,NA,host.associated,disease.associated
Pseudomonas syringae USA011,CP045799.1,NA,NA,stream water,NA,free.living,unknown
Pseudomonas aeruginosa,CP045768.1,NA,NA,arugula,NA,host.associated,unknown
Pseudomonas sp. CFSAN084952,CP045767.1,NA,NA,arugula,NA,host.associated,unknown
Pseudomonas aeruginosa PA99,CP042967.1,Homo sapiens,unspecified,sputum,NA,host.associated,unknown
Pseudomonas aeruginosa,CP024630.1,Mink,Mink Hemorrhagic pneumonia,Mink raising farm,NA,host.associated,disease.associated
Pseudomonas sp. THAF42,CP045359.1,NA,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,pure culture,free.living,unknown
Pseudomonas sp. THAF187a,CP045349.1,NA,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,pure culture,free.living,unknown
Pseudomonas chlororaphis subsp. aurantiaca,CP045221.1,Cotton rhizosphere,NA,NA,cell colony,host.associated,unknown
Pseudomonas sp. SCB32,CP045118.1,NA,NA,soil,cell culture,unknown,unknown
Pseudomonas aeruginosa,CP032126.1,NA,NA,wound,whole organism,host.associated,unknown
Pseudomonas aeruginosa,CP035739.1,Homo sapiens,conjunctiva infection,eye,NA,host.associated,disease.associated
Pseudomonas protegens,CP032353.1,NA,NA,NA,Cell culture,unknown,unknown
Pseudomonas protegens,CP032352.1,NA,NA,NA,Cell culture,unknown,unknown
Pseudomonas protegens,CP032358.1,NA,NA,NA,Cell culture,unknown,unknown
Pseudomonas aeruginosa,CP033835.1,Homo sapiens,NA,UCC isolate,NA,host.associated,unknown
Pseudomonas aeruginosa,CP033833.1,Homo sapiens,NA,UCC isolate,NA,host.associated,unknown
Pseudomonas aeruginosa,CP033843.1,Homo sapiens,NA,UCC isolate,NA,host.associated,unknown
Pseudomonas aeruginosa,CP033832.1,Homo sapiens,NA,Endotracheal aspirate,NA,host.associated,unknown
Pseudomonas aeruginosa,CP033771.1,Homo sapiens,NA,Throat (pharynx),NA,host.associated,unknown
Pseudomonas protegens,CP022097.2,Environment,Not Applicable,"root surface of cotton, Charles Howell",NA,host.associated,unknown
Pseudomonas sp. FDAARGOS_380,CP023969.1,Homo sapiens,Missing,G tube,Missing,host.associated,unknown
Pseudomonas monteilii,CP014062.1,Homo sapiens,Cystic Fibrosis,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP044006.1,Homo sapiens,Cystic Fibrosis,"oropharynx, sputum, or bronchoalveolar lavage",NA,host.associated,disease.associated
Pseudomonas putida,CP043835.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas brassicacearum,CP034725.1,Solanum tuberosum,NA,NA,NA,host.associated,unknown
Pseudomonas protegens,CP024025.1,NA,NA,Grass-covered soil,Whole organism,host.associated,unknown
Pseudomonas putida GB-1,CP000926.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP042269.1,Homo sapiens,Cystic fibrosis,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP043328.1,Homo sapiens,Urinary tract infection,Urine sample,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP034430.1,Homo sapiens,burn wound,burn wound,NA,host.associated,unknown
Pseudomonas aeruginosa,CP028959.1,NA,NA,crude oil,cell cluture,free.living,unknown
Pseudomonas aeruginosa,CP028848.1,NA,NA,crude oil,cell cluture,free.living,unknown
Pseudomonas aeruginosa,CP028849.1,NA,NA,crude oil,cell cluture,free.living,unknown
Pseudomonas amygdali pv. tabaci str. ATCC 11528,CP042804.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas putida,CP022560.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas aeruginosa,CP040684.1,Homo sapiens,NA,NA,Bacterial cell culture,host.associated,unknown
Pseudomonas sp. KBS0802,CP042180.1,NA,NA,soil,environmental isolate,free.living,unknown
Pseudomonas sp. KBS0707,CP041754.1,NA,NA,soil,environmental isolate,free.living,unknown
Pseudomonas sp. ATCC 43928,CP041753.1,NA,NA,soil,environmental isolate,free.living,unknown
Pseudomonas lurida,CP015639.1,Miscanthus x giganteus,NA,Interior of surface sterilised leaf tissue,NA,host.associated,unknown
Pseudomonas simiae,CP005975.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas simiae,CP010896.1,Solanum lycopersicum,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP041354.1,NA,NA,urinary tract infection,NA,host.associated,disease.associated
Pseudomonas azotoformans,CP041236.1,NA,NA,Soil samples from resarch farm,Cell Culture,unknown,unknown
Pseudomonas sp. NIBRBAC000502773,CP041189.1,NA,NA,coal mine soil,Genome assembly,free.living,unknown
Pseudomonas psychrotolerans,CP021645.1,NA,NA,soil,Whole organism,free.living,unknown
Pseudomonas aeruginosa,CP041013.1,ZymoBIOMICS Microbial Community Standard Strain,Not applicable,"Water bottle, Animal room",NA,free.living,unknown
Pseudomonas aeruginosa,CP041008.1,NIST Mixed Microbial RM strain,NA,ATCC Isolate,NA,unknown,unknown
Pseudomonas sp. MPC6,CP034783.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas savastanoi pv. phaseolicola 1448A,CP000058.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae pv. tomato str. DC3000,AE016853.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. SGAir0191,CP025035.2,NA,NA,air,whole organism,free.living,unknown
Pseudomonas mendocina,CP011508.1,NA,NA,dioxin contaminated soil,whole organism,free.living,unknown
Pseudomonas aeruginosa,CP032569.2,Homo sapiens,Bacteraemia,blood,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP040127.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas sp. DG56-2,CP032311.1,crocodile lizard,NA,NA,cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP039293.1,Homo sapiens,Bacteremia,blood,NA,host.associated,disease.associated
Pseudomonas aeruginosa PA7,CP000744.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas fluorescens,CP038438.1,NA,NA,rhizosphere of strawberry plant,whole organism,host.associated,unknown
Pseudomonas sp. S150,CP038207.1,NA,NA,tobacco,whole organism,host.associated,unknown
Pseudomonas sp. SXM-1,CP038001.1,NA,NA,water,NA,free.living,unknown
Pseudomonas aeruginosa,CP037925.1,Homo sapiens,Cystic Fibrosis,Cystic Fibrosis lung sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP037926.1,Homo sapiens,Cystic Fibrosis,Cystic Fibrosis lung sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP024477.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP031677.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas tructae,CP035952.1,NA,NA,Oncorhynchus mykiss,single cell,host.associated,unknown
Pseudomonas aeruginosa,CP031449.2,Homo sapiens,UTI,urine,NA,host.associated,unknown
Pseudomonas sp. DTU12.3,CP027218.1,NA,NA,"Soil, covered with withered leaves",Whole organism,host.associated,unknown
Pseudomonas aeruginosa PAO1,NC_002516.2,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. RU47,CP022411.1,NA,NA,soil,Soil,free.living,unknown
Pseudomonas aeruginosa,CP022478.1,Homo sapiens,infection,sputum,NA,host.associated,disease.associated
Pseudomonas syringae,CP024646.1,NA,NA,soil,whole organism,free.living,unknown
Pseudomonas aeruginosa,CP034430.1,Homo sapiens,burn wound,burn wound,NA,host.associated,unknown
Pseudomonas aeruginosa,CP034429.1,Homo sapiens,Pneumonia,bronchoalveolar lavage,NA,host.associated,disease.associated
Pseudomonas poae,CP034537.1,NA,NA,contaminated transfused red blood cell unit,NA,unknown,unknown
Pseudomonas stutzeri,CP018050.1,NA,NA,Agriculture waste,pure culture,free.living,unknown
Pseudomonas stutzeri,CP018046.1,NA,NA,Agriculture waste,pure culture,free.living,unknown
Pseudomonas aeruginosa,CP034434.1,Homo sapiens,Bacteraemia,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP034435.1,Homo sapiens,Bacteraemia,blood,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP034436.1,Homo sapiens,Bacteraemia,blood,NA,host.associated,disease.associated
Pseudomonas libanensis,CP034425.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP034409.1,Homo sapiens,Bacteraemia,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP034369.1,Homo sapiens,Bacteraemia,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP034368.1,Homo sapiens,Bacteraemia,blood,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP034354.1,Homo sapiens,urinary infection,urine,NA,host.associated,disease.associated
Pseudomonas entomophila,CP034337.1,NA,NA,soil,Pure culture,free.living,unknown
Pseudomonas syringae pv. pisi str. PP1,CP034078.1,Pisum sativum,NA,NA,NA,host.associated,unknown
Pseudomonas sp. LBUM920,CP027762.1,Picea glauca,NA,white spruce rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. R11-23-07,CP027761.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. R4-34-07,CP027760.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. R2-7-07,CP027759.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. R1-43-08,CP027734.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. R4-39-08,CP027733.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. R4-35-07,CP027732.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. R2-60-08W,CP027731.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. R3-52-08,CP027730.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. R3-18-08,CP027729.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. R2-37-08W,CP027728.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. R5-89-07,CP027727.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas orientalis,CP027726.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas orientalis,CP027725.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas orientalis,CP027724.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas orientalis,CP027723.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas synxantha,CP027758.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas synxantha,CP027757.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas synxantha,CP027756.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas synxantha,CP027755.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas synxantha,CP027754.1,Triticum sp.,NA,wheat rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis,CP027753.1,Trifolium sp.,NA,white and red clover,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aureofaciens,CP027752.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aureofaciens,CP027751.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aureofaciens,CP027750.1,not applicable,NA,bulk soil,cell culture,free.living,unknown
Pseudomonas chlororaphis subsp. aureofaciens,CP027749.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aureofaciens,CP027748.1,not applicable,NA,bulk soil,cell culture,free.living,unknown
Pseudomonas chlororaphis subsp. aureofaciens,CP027747.1,Medicago sativa,NA,alfalfa rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aureofaciens,CP027722.1,Zea mays,NA,maize rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aureofaciens,CP027721.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aureofaciens,CP027719.1,Solanum tuberosum,NA,potato roots,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,CP027718.1,Medicago sativa,NA,alfalfa rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,CP027717.1,Beta vulgaris,NA,sugar-beetroot rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,CP027745.1,Trifolium sp.,NA,white clover rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,CP027744.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,CP027743.1,Raphanus sativus,NA,radish rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,CP027742.1,Beta vulgaris,NA,beet rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,CP027741.1,Zea mays,NA,maize rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis,CP027716.1,Saccharum sp.,NA,sugarcane rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aurantiaca,CP027715.1,Zea mays,NA,maize rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis,CP027714.1,not applicable,NA,soil,cell culture,free.living,unknown
Pseudomonas chlororaphis,CP027713.1,Quercus sp.,NA,Oak,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. piscium,CP027711.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. piscium,CP027740.1,not applicable,NA,bulk soil,cell culture,free.living,unknown
Pseudomonas chlororaphis subsp. piscium,CP027739.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. piscium,CP027738.1,not applicable,NA,bulk soil,cell culture,free.living,unknown
Pseudomonas chlororaphis subsp. piscium,CP027737.1,Persea americana,NA,avocado rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. piscium,CP027736.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. piscium,CP027735.1,Solanum lycopersicum,NA,tomato rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. piscium,CP027710.1,not applicable,NA,take-all decline soil,cell culture,free.living,unknown
Pseudomonas chlororaphis subsp. piscium,CP027709.1,not collected,NA,not collected,cell culture,unknown,unknown
Pseudomonas chlororaphis subsp. piscium,CP027708.1,not collected,NA,not collected,cell culture,unknown,unknown
Pseudomonas sessilinigenes,CP027706.1,Xanthosoma sagittifolium,NA,red cocoyam rhizosphere,cell culture,host.associated,unknown
Pseudomonas sp. CMR5c,CP027705.1,Xanthosoma sagittifolium,NA,red cocoyam rhizosphere,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aureofaciens,CP027720.1,not applicable,NA,river clay,cell culture,free.living,unknown
Pseudomonas chlororaphis subsp. aurantiaca,CP027746.1,not applicable,NA,not collected,cell culture,unknown,unknown
Pseudomonas chlororaphis subsp. chlororaphis,CP027712.1,not applicable,NA,plate contaminant,cell culture,free.living,unknown
Pseudomonas chlororaphis subsp. piscium,CP027707.1,Perca fluviatilis,NA,European perch intestine,cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP033684.1,Homo sapiens,Burned,skin,NA,host.associated,unknown
Pseudomonas aeruginosa,CP033686.1,Homo sapiens,Burned,Biopsy,NA,host.associated,unknown
Pseudomonas aeruginosa,CP033685.1,Homo sapiens,Cardiac arrest,Bronchial aspirate,NA,host.associated,unknown
Pseudomonas aeruginosa,CP033439.1,Homo sapiens,Respiratory tract infection,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP033432.1,Homo sapiens,Bacteremia,blood,NA,host.associated,disease.associated
Pseudomonas sp. LTGT-11-2Z,CP033104.1,Alhagi sparsifolia Shap.,NA,NA,NA,host.associated,unknown
Pseudomonas sp. LTJR-52,CP033105.1,Alhagi sparsifolia Shap.,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP033084.1,NA,NA,NA,single cell,unknown,unknown
Pseudomonas soli,CP009365.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae pv. actinidiae,CP032871.1,kiwifruit,NA,canker of kiwifruit,tissue sample,host.associated,unknown
Pseudomonas monteilii,CP022562.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas putida,CP022561.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas syringae pv. actinidiae str. Shaanxi_M228,CP032631.1,Actinidia,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP032552.1,Homo sapiens,Microbial Keratitis,eye,NA,host.associated,disease.associated
Pseudomonas fluorescens,CP031450.1,NA,NA,soil,Cell culture,free.living,unknown
Pseudomonas sp. Leaf58,CP032677.1,Arabidopsis,NA,phyllosphere,whole organism,host.associated,unknown
Pseudomonas fluorescens,CP032618.1,Scophthalmus maximus,NA,NA,whole organism,host.associated,unknown
Pseudomonas sp. DY-1,CP032616.1,bacteria,NA,Heilongjiang Province,Pseudomonas Sp.,unknown,unknown
Pseudomonas aeruginosa,CP028584.2,Homo sapiens,NA,NA,Pure Culture,host.associated,unknown
Pseudomonas aeruginosa,CP032257.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP029605.1,Homo sapiens,Sepsis,blood,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP031660.1,Homo sapiens,Bacteremia,blood,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP031659.1,Homo sapiens,Bacteremia,blood,NA,host.associated,disease.associated
Pseudomonas fluorescens,CP031648.1,NA,NA,soil,BACTERIA,free.living,unknown
Pseudomonas parafulva,CP031641.1,NA,NA,soil,BACTERIA,free.living,unknown
Pseudomonas aeruginosa,CP030911.1,Homo sapiens,Pneumonia,sputum,NA,host.associated,unknown
Pseudomonas plecoglossicida,CP031146.1,Larimichthys crocea,NA,fish spleen,bacterial culture,host.associated,unknown
Pseudomonas protegens,CP031396.1,NA,NA,rhizosphere,Bacteria,host.associated,unknown
Pseudomonas aeruginosa,CP030913.1,Homo sapiens,Pneumonia,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP030912.1,Homo sapiens,Pneumonia,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP030910.1,Homo sapiens,Pneumonia,sputum,NA,host.associated,disease.associated
Pseudomonas kribbensis,CP029608.1,NA,NA,"garden soil (KRIBB, Daejeon, South Korea)",cell culture,free.living,unknown
Pseudomonas amygdali pv. lachrymans str. M301315,CP031225.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP030861.1,not collected,NA,not collected,NA,unknown,unknown
Pseudomonas putida,CP030750.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas sp. LG1E9,CP029983.1,NA,NA,water,cell culture,free.living,unknown
Pseudomonas aeruginosa,CP030327.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP030351.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP030328.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas putida,CP029693.1,strawberry,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP029707.1,Homo sapiens,NA,tracheal secretions,NA,host.associated,unknown
Pseudomonas aeruginosa,CP029745.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP023255.1,Homo sapiens,N/A,sputum,NA,host.associated,unknown
Pseudomonas aeruginosa,CP029660.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP029097.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP029093.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP029090.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP029089.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP029088.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP027166.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP027174.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP027172.1,NA,NA,NA,NA,unknown,unknown
